['Ansible', 'AstroPy', 'Attrs', 'BeeWare', 'Bottle', 'BuildBot', 'Celery', 'CherryPy']
['SQLAlchemy', 'AstroPy', 'Pyramid', 'Coala', 'Matplotlib', 'Sentry', 'Plone', 'Jython']
['Numpy', 'Click', 'Pyramid', 'PyCon PL', 'Bottle', 'MicroPython', 'Jupyter', 'Toga']
['Sphinx', 'Jupyter', 'Ninja IDE', 'Celery', 'PyTorch', 'Django', 'Plone', 'SaltStack']
['Sphinx', 'Matplotlib', 'Bottle', 'Cookiecutter', 'PyPI', 'SunPy', 'Pygame', 'Jinja']
['Ansible', 'Python', 'PyCon CZ', 'Coala', 'Pygame', 'peewee', 'SaltStack', 'Toga']

['Spyder', 'OpenStack', 'PyCon CZ', 'BeeWare', 'SunPy', 'MicroPython', 'Django', 'Jython']
['Spyder', 'AstroPy', 'scipy', 'mako', 'PyPI', 'Cython', 'PyTorch', 'Toga']
['pymunk', 'PyPy', 'Attrs', 'IPython', 'SunPy', 'Sentry', 'Ninja IDE', 'Toga']
['Ansible', 'OpenStack', 'Read the docs', 'PyCon PL', 'Cookiecutter', 'Sentry', 'PyTorch', 'PyLadies']
['Numpy', 'Kivy', 'Flask', 'Coala', 'SunPy', 'PyCon SK', 'PyTorch', 'CherryPy']
['Pyvo', 'PyPy', 'scipy', 'Coala', 'Jinja', 'MicroPython', 'Celery', 'PyLadies']
['SQLAlchemy', 'Click', 'Flask', 'BeeWare', 'PyPI', 'peewee', 'Ninja IDE', 'PyLadies']
['pymunk', 'Click', 'Read the docs', 'mako', 'Pygame', 'PyCon SK', 'Celery', 'Jython']
['Spyder', 'Python', 'Attrs', 'SymPy', 'Matplotlib', 'PyCon SK', 'Jupyter', 'PyLadies']
['Pyvo', 'Python', 'Flask', 'mako', 'Bottle', 'Sentry', 'Django', 'PyData']
['SQLAlchemy', 'Python', 'lxml', 'PyCon PL', 'SunPy', 'Cython', 'Celery', 'PonyORM']

['SQLAlchemy', 'Fabric', 'Attrs', 'Pytest', 'Pygame', 'MicroPython', 'PyTorch', 'PyData']
['Sphinx', 'SymPy', 'Coala', 'IPython', 'mako', 'BeeWare', 'PyCon PL', 'Pytest']
['pymunk', 'Kivy', 'PyCon CZ', 'Pytest', 'Bottle', 'Cython', 'Plone', 'PyLadies']
['Spyder', 'Kivy', 'Pyramid', 'IPython', 'Cookiecutter', 'peewee', 'Celery', 'PyData']
['Sphinx', 'Attrs', 'Read the docs', 'Pyramid', 'scipy', 'PyCon CZ', 'Flask', 'lxml']
['SQLAlchemy', 'OpenStack', 'scipy', 'IPython', 'Bottle', 'PyCon SK', 'SaltStack', 'Elsa']
['Chopsticks', 'Python', 'Read the docs', 'IPython', 'PyPI', 'MicroPython', 'Plone', 'CherryPy']
['Pyvo', 'Fabric', 'lxml', 'BeeWare', 'Cookiecutter', 'PyCon SK', 'Plone', 'Toga']
['Ansible', 'Click', 'scipy', 'SymPy', 'SunPy', 'Pyglet', 'Plone', 'PyData']
['Pyvo', 'AstroPy', 'Read the docs', 'Pytest', 'SunPy', 'peewee', 'Jupyter', 'Elsa']
['SQLAlchemy', 'Kivy', 'Read the docs', 'SymPy', 'Jinja', 'BuildBot', 'Django', 'Toga']

['Chopsticks', 'OpenStack', 'Flask', 'Pytest', 'Matplotlib', 'Pyglet', 'Celery', 'Toga']
['pymunk', 'Fabric', 'scipy', 'PyCon PL', 'Matplotlib', 'peewee', 'Django', 'CherryPy']
